Manhattan,Staten,Bronx,Brooklyn,Queens
10001,10301,10451,11201,11004
10002,10302,10452,11203,11101
10003,10303,10453,11204,11102
10004,10304,10454,11205,11103
10005,10305,10455,11206,11104
10006,10306,10456,11207,11105
10007,10307,10457,11208,11106
10009,10308,10458,11209,11109
10010,10309,10459,11210,11351
10011,10310,10460,11211,11354
10012,10311,10461,11212,11355
10013,10312,10462,11213,11356
10014,10314,10463,11214,11357
10015,,10464,11215,11358
10016,,10465,11216,11359
10017,,10466,11217,11360
10018,,10467,11218,11361
10019,,10468,11219,11362
10020,,10469,11220,11363
10021,,10470,11221,11364
10022,,10471,11222,11365
10023,,10472,11223,11366
10024,,10473,11224,11367
10025,,10474,11225,11368
10026,,10475,11226,11369
10027,,,11228,11370
10028,,,11229,11371
10029,,,11230,11372
10030,,,11231,11373
10031,,,11232,11374
10032,,,11233,11375
10033,,,11234,11377
10034,,,11235,11378
10035,,,11236,11379
10036,,,11237,11385
10037,,,11238,11411
10038,,,11239,11412
10039,,,11241,11413
10040,,,11242,11414
10041,,,11243,11415
10044,,,11249,11416
10045,,,11252,11417
10048,,,11256,11418
10055,,,,11419
10060,,,,11420
10069,,,,11421
10090,,,,11422
10095,,,,11423
10098,,,,11426
10099,,,,11427
10103,,,,11428
10104,,,,11429
10105,,,,11430
10106,,,,11432
10107,,,,11433
10110,,,,11434
10111,,,,11435
10112,,,,11436
10115,,,,11691
10118,,,,11692
10119,,,,11693
10120,,,,11694
10121,,,,11697
10122,,,,
10123,,,,
10128,,,,
10151,,,,
10152,,,,
10153,,,,
10154,,,,
10155,,,,
10158,,,,
10161,,,,
10162,,,,
10165,,,,
10166,,,,
10167,,,,
10168,,,,
10169,,,,
10170,,,,
10171,,,,
10172,,,,
10173,,,,
10174,,,,
10175,,,,
10176,,,,
10177,,,,
10178,,,,
10199,,,,
10270,,,,
10271,,,,
10278,,,,
10279,,,,
10280,,,,
10281,,,,
10282,,,,
